name_of_city,state_code,state_name,dist_code,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,location,total_graduates,male_graduates,female_graduates
Avadi ,33,TAMIL NADU,1,344701,175055,169646,33414,17005,16409,275881,145729,130152,969,965,88.63,92.2,84.94,"13.1067448,80.0969511",51647,27742,23905
Azamgarh ,9,UTTAR PRADESH,60,110980,58033,52947,12629,6790,5839,85008,46587,38421,912,860,86.43,90.91,81.56,"26.0737044,83.1859458",19911,11691,8220
Badlapur ,27,MAHARASHTRA,21,175516,91695,83821,17194,9096,8098,146259,78910,67349,914,890,92.38,95.53,88.94,"19.1667854,73.2367896",25115,13878,11237
Bagaha ,10,BIHAR,1,113012,59946,53066,19070,9802,9268,56998,34751,22247,885,946,60.67,69.3,50.79,"27.1221959,84.0722375",3744,2756,988
Bagalkot ,29,KARNATAKA,2,112068,56837,55231,12399,6476,5923,85860,46623,39237,972,915,86.15,92.58,79.58,"16.1725355,75.6557206",14090,9038,5052
Bahadurgarh ,6,HARYANA,15,170426,91736,78690,20374,11420,8954,132108,75714,56394,858,784,88.04,94.27,80.87,"28.6924464,76.9239727",22521,13025,9496
Baharampur ,19,WEST BENGAL,7,195363,100431,94932,13228,6741,6487,164445,86535,77910,945,962,90.29,92.36,88.09,"24.0988265,88.2679264",32154,19679,12475
Bahraich ,9,UTTAR PRADESH,49,186241,98529,87712,22828,12046,10782,122602,66544,56058,890,895,75.03,76.94,72.87,"27.7525271,81.4278984",20490,11537,8953
Baidyabati ,19,WEST BENGAL,12,121081,62550,58531,8154,4164,3990,100590,53217,47373,936,958,89.08,91.15,86.86,"22.795783,88.3190717",17224,10311,6913
Baleshwar Town ,21,ORISSA,8,118202,60308,57894,11115,5685,5430,95084,50372,44712,960,955,88.79,92.22,85.22,"21.4869337,86.9246005",23170,14071,9099
Ballia ,9,UTTAR PRADESH,62,104271,55706,48565,10798,5780,5018,80964,45467,35497,872,868,86.62,91.07,81.51,"25.7584381,84.1487319",16114,10252,5862
Bally ,19,WEST BENGAL,15,291972,156734,135238,31859,14583,17276,216902,119508,97394,863,1185,83.39,84.07,82.56,"22.6500518,88.3423199",36100,22170,13930
Bally City,19,WEST BENGAL,15,115715,59951,55764,9584,4879,4705,95665,51534,44131,930,964,90.14,93.58,86.43,"22.6500518,88.3423199",12354,7562,4792
Balurghat ,19,WEST BENGAL,5,151183,75677,75506,9391,4757,4634,130230,66954,63276,998,974,91.85,94.41,89.28,"25.2372834,88.7830612",23732,14538,9194
Banda ,9,UTTAR PRADESH,39,154388,82215,72173,17697,9351,8346,113857,64871,48986,878,893,83.3,89.03,76.75,"25.4796224,80.3380213",24015,15215,8800
Bankura ,19,WEST BENGAL,13,138036,70734,67302,10760,5502,5258,111073,60272,50801,951,956,87.27,92.4,81.88,"23.2324146,87.0786044",19082,12321,6761
Bansberia ,19,WEST BENGAL,12,103799,53807,49992,8721,4518,4203,81514,44671,36843,929,930,85.73,90.63,80.46,"22.951904,88.4070629",8566,5264,3302
Banswara ,8,RAJASTHAN,27,100128,51240,48888,12244,6602,5642,76438,41404,35034,954,855,86.98,92.76,81.01,"23.5461394,74.4349761",13852,7837,6015
Baran ,8,RAJASTHAN,30,118157,61360,56797,14845,7842,7003,83879,48209,35670,926,893,81.19,90.08,71.64,"25.1011438,76.5131637",11553,7362,4191
Baranagar ,19,WEST BENGAL,11,248466,128432,120034,15016,7712,7304,215849,114347,101502,935,947,92.46,94.72,90.04,"22.6383016,88.3654386",49711,28274,21437
Barasat ,19,WEST BENGAL,11,283443,143732,139711,21468,10932,10536,236881,123692,113189,972,964,90.42,93.14,87.62,"22.7228159,88.480552",45516,27143,18373
Baraut ,9,UTTAR PRADESH,8,102733,54521,48212,13536,7387,6149,69559,39900,29659,884,832,77.98,84.65,70.51,"29.0998902,77.2606149",12672,7191,5481
Barddhaman ,19,WEST BENGAL,9,314638,160631,154007,22104,11394,10710,260564,138067,122497,959,940,89.07,92.52,85.48,"23.2324214,87.8614793",52387,32325,20062
Bareilly ,9,UTTAR PRADESH,19,898167,477438,420729,94915,50224,44691,563619,316385,247234,881,890,70.17,74.06,65.75,"28.3670355,79.4304381",110691,61065,49626
Baripada Town ,21,ORISSA,7,110058,57008,53050,9933,5228,4705,89421,48388,41033,931,900,89.31,93.45,84.88,"21.9322338,86.7516942",17589,10953,6636
Barnala ,3,PUNJAB,20,116454,62302,54152,12984,7096,5888,82347,46100,36247,869,830,79.59,83.51,75.1,"30.3819446,75.5467979",12665,6213,6452
Barrackpur ,19,WEST BENGAL,11,154475,79507,74968,10671,5553,5118,128459,68159,60300,943,922,89.33,92.16,86.33,"22.7674278,88.3883455",29910,17514,12396
Barshi ,27,MAHARASHTRA,30,118573,60857,57716,13029,7060,5969,91260,49965,41295,948,845,86.47,92.88,79.8,"18.2333856,75.6941478",13351,8564,4787
Basirhat ,19,WEST BENGAL,11,127135,64397,62738,10719,5504,5215,102737,53913,48824,974,947,88.25,91.54,84.88,"22.6574017,88.8671766",20037,12083,7954
Basti ,9,UTTAR PRADESH,54,114651,60126,54525,12568,6541,6027,87065,48473,38592,907,921,85.29,90.46,79.57,"26.8176796,82.7633133",20183,12071,8112
Batala ,3,PUNJAB,1,156400,82459,73941,14698,8028,6670,121138,66101,55037,897,831,85.49,88.81,81.81,"31.8183238,75.2070644",16436,8120,8316
Bathinda ,3,PUNJAB,12,285813,151782,134031,30713,16472,14241,211318,118888,92430,883,865,82.84,87.86,77.16,"30.210994,74.9454745",43428,22471,20957
Beawar ,8,RAJASTHAN,21,145809,74946,70863,17709,9419,8290,110111,61229,48882,946,880,85.96,93.44,78.12,"26.1007337,74.3190747",13767,8257,5510
Begusarai ,10,BIHAR,20,251136,133931,117205,37966,20012,17954,169161,96459,72702,875,897,79.35,84.67,73.25,"25.416675,86.1293792",24616,16492,8124
Belgaum ,29,KARNATAKA,1,488292,246407,241885,49848,25749,24099,396736,208546,188190,982,936,90.49,94.51,86.41,"15.8496953,74.4976741",64200,37682,26518
Bellary ,29,KARNATAKA,11,409644,206026,203618,49587,25337,24250,281768,153275,128493,988,957,78.26,84.83,71.64,"15.1393932,76.9214428",36855,23011,13844
Bengaluru,29,KARNATAKA,18,8425970,4401299,4024671,862493,444639,417854,6775942,3664959,3110983,914,940,89.59,92.63,86.25,"12.9716,77.5946",1591163,908363,682800
Bettiah ,10,BIHAR,1,132896,70381,62515,18203,9685,8518,94663,52547,42116,888,880,82.54,86.57,78,"26.8028048,84.5169757",13438,9372,4066
Betul ,23,MADHYA PRADESH,30,103341,52902,50439,11005,5772,5233,83356,44429,38927,953,907,90.27,94.27,86.11,"21.9108031,77.9011842",17125,9918,7207
Bhadrak ,21,ORISSA,9,107369,55094,52275,12251,6285,5966,76928,41628,35300,949,949,80.88,85.29,76.23,"21.0582737,86.4958396",13311,8191,5120
Bhadravati ,29,KARNATAKA,14,150776,75020,75756,14000,7087,6913,118446,62199,56247,1010,975,86.6,91.56,81.7,"13.8329901,75.7080727",12406,7066,5340
Bhadreswar ,19,WEST BENGAL,12,101334,53318,48016,8981,4674,4307,80249,44493,35756,901,921,86.89,91.47,81.8,"22.8275529,88.3456516",9225,5743,3482
Bhagalpur ,10,BIHAR,22,398138,212005,186133,53775,28061,25714,279469,157049,122420,878,916,81.16,85.38,76.31,"25.3478004,86.9824288",49656,33692,15964
Bhalswa Jahangir Pur ,7,NCT OF DELHI,1,197150,106271,90879,27653,14678,12975,130417,76114,54303,855,884,76.94,83.1,69.71,"28.757322,77.1544",8348,5164,3184
Bharatpur ,8,RAJASTHAN,7,252109,134088,118021,31538,17245,14293,181159,105642,75517,880,829,82.13,90.41,72.8,"27.216981,77.489515",33411,20734,12677
Bharuch ,24,GUJARAT,21,168729,86887,81842,16106,8406,7700,133796,71671,62125,942,916,87.66,91.32,83.79,"21.7051358,72.9958748",14059,8210,5849
Bhatpara ,19,WEST BENGAL,11,390467,207876,182591,32498,16879,15619,307362,172042,135320,878,925,85.86,90.08,81.04,"22.8562412,88.406454",29055,18147,10908
Bhavnagar ,24,GUJARAT,14,593768,309447,284321,62089,33775,28314,455242,251860,203382,919,838,85.62,91.36,79.44,"21.7644725,72.1519304",51875,30315,21560
Bhilai Nagar ,22,CHHATTISGARH,10,625697,322254,303443,67131,35011,32120,487242,267487,219755,942,917,87.23,93.12,80.99,"21.1938475,81.3509416",81620,43751,37869
Bhilwara ,8,RAJASTHAN,24,360009,187952,172057,45832,24215,21617,264762,150306,114456,915,893,84.27,91.8,76.08,"25.321377,74.586953",41788,24856,16932
Bhimavaram ,28,ANDHRA PRADESH,15,142280,70066,72214,12157,6149,6008,108535,55523,53012,1031,977,83.41,86.87,80.07,"16.544893,81.521241",18298,11541,6757
Bhind ,23,MADHYA PRADESH,3,197332,105394,91938,24486,13319,11167,145530,83903,61627,872,838,84.2,91.12,76.3,"26.4450034,78.7476208",20470,13748,6722
Bhiwadi ,8,RAJASTHAN,6,104883,59757,45126,16884,9080,7804,70987,44697,26290,755,859,80.67,88.2,70.44,"28.2088218,76.8445999",10135,6331,3804
Bhiwandi ,27,MAHARASHTRA,21,711329,418478,292851,88613,45820,42793,507722,314906,192816,700,934,81.53,84.5,77.11,"19.2812547,73.0482912",24688,14404,10284
Bhiwani ,6,HARYANA,13,197662,105372,92290,22507,12444,10063,147807,84028,63779,876,809,84.39,90.42,77.56,"28.7751693,75.9927652",28123,17068,11055
Bhopal ,23,MADHYA PRADESH,27,1795648,939560,856088,206967,107945,99022,1354219,741737,612482,911,917,85.24,89.19,80.9,"23.2599333,77.412615",282813,155418,127395
Bhubaneswar Town ,21,ORISSA,17,837737,445233,392504,75237,39567,35670,710243,388164,322079,882,902,93.15,95.69,90.26,"20.2960587,85.8245398",200788,121563,79225
Bhuj ,24,GUJARAT,1,147123,77900,69223,15894,8365,7529,114822,64172,50650,889,900,87.5,92.29,82.1,"23.2419997,69.6669324",16457,9536,6921
Bhusawal ,27,MAHARASHTRA,3,187750,96655,91095,19440,10496,8944,152103,81544,70559,942,852,90.37,94.64,85.89,"21.0455204,75.8010962",19815,11257,8558
Bid ,27,MAHARASHTRA,27,146237,75655,70582,19580,10626,8954,112171,61135,51036,933,843,88.56,94.01,82.81,"18.9890893,75.7600785",19030,12252,6778
Bidar ,29,KARNATAKA,4,211944,109435,102509,25077,13103,11974,163781,89472,74309,937,914,87.65,92.88,82.08,"17.9148799,77.5046101",25910,16824,9086
Bidhan Nagar ,19,WEST BENGAL,11,218323,111363,106960,12786,6500,6286,185885,97604,88281,960,967,90.44,93.08,87.69,"22.5867296,88.4170988",65863,35756,30107
Biharsharif ,10,BIHAR,27,296889,154915,141974,43646,22758,20888,189420,110247,79173,916,918,74.8,83.42,65.39,"25.1982147,85.5148735",28092,20487,7605
Bijapur ,29,KARNATAKA,3,326360,165122,161238,39134,20482,18652,239631,128615,111016,976,911,83.43,88.92,77.86,"16.8301708,75.710031",37265,24355,12910
Bikaner ,8,RAJASTHAN,3,647804,340894,306910,82264,43280,38984,451663,259367,192296,900,901,79.86,87.15,71.77,"28.0229348,73.3119159",73369,44965,28404
Bilaspur ,22,CHHATTISGARH,7,330106,169738,160368,36448,19167,17281,260654,141169,119485,945,902,88.76,93.76,83.51,"22.0796251,82.1391412",67396,38607,28789
Bokaro Steel City ,20,JHARKHAND,10,413934,220088,193846,48834,26058,22776,310127,179188,130939,881,874,84.94,92.35,76.54,"23.6692956,86.151112",61034,39496,21538
Bongaon ,19,WEST BENGAL,11,110668,56416,54252,8452,4387,4065,92253,48799,43454,962,927,90.25,93.79,86.58,"23.0440381,88.827703",10286,6684,3602
Botad ,24,GUJARAT,14,130302,67778,62524,16654,8889,7765,94563,53275,41288,922,874,83.21,90.47,75.4,"22.1704232,71.6684269",4578,2997,1581
Brahmapur Town ,21,ORISSA,19,355823,185584,170239,29509,15544,13965,293818,159550,134268,917,898,90.04,93.83,85.92,"19.3149618,84.7940911",50782,32587,18195
Budaun ,9,UTTAR PRADESH,18,159221,83475,75746,19613,10420,9193,101914,56012,45902,907,882,73,76.67,68.97,"28.0337088,79.1205419",19204,10705,8499
Bulandshahr ,9,UTTAR PRADESH,11,222826,116923,105903,28936,15892,13044,153135,86408,66727,906,821,78.98,85.53,71.86,"28.406963,77.8498292",32546,18503,14043
Bundi ,8,RAJASTHAN,23,102823,53299,49524,12047,6419,5628,75482,42642,32840,929,877,83.15,90.96,74.81,"25.4305144,75.6499025",13148,8081,5067
Burari ,7,NCT OF DELHI,2,145584,77767,67817,18134,9809,8325,113188,64125,49063,872,849,88.81,94.36,82.47,"28.7535212,77.1948241",17914,11136,6778
Burhanpur ,23,MADHYA PRADESH,50,210891,108234,102657,28107,14628,13479,149339,80909,68430,948,921,81.7,86.44,76.73,"21.3193875,76.2224273",15203,9325,5878
Buxar ,10,BIHAR,30,102591,54123,48468,13639,7260,6379,75752,42601,33151,896,879,85.16,90.91,78.76,"25.4987785,84.1435136",12464,8920,3544
Champdani ,19,WEST BENGAL,12,110983,59296,51687,11604,6017,5587,81883,46888,34995,872,929,82.39,88,75.91,"22.8049456,88.3409338",7167,4654,2513
Chandannagar ,19,WEST BENGAL,12,166949,84257,82692,10716,5514,5202,141572,73393,68179,981,943,90.62,93.21,87.98,"22.8647723,88.36326",30933,17942,12991
Chandausi ,9,UTTAR PRADESH,4,114254,60238,54016,14417,7730,6687,72515,40323,32192,897,865,72.63,76.79,68.02,"28.4480507,78.7796105",15436,8436,7000
Chandigarh ,4,CHANDIGARH,1,960787,525226,435561,104192,56020,48172,743254,426071,317183,829,860,86.77,90.81,81.88,"30.7333148,76.7794179",189312,101491,87821
Chandrapur ,27,MAHARASHTRA,13,321036,165125,155911,30353,15921,14432,263962,142528,121434,944,906,90.81,95.53,85.83,"19.9704597,79.3014845",37686,21317,16369
Chapra ,10,BIHAR,17,201597,106250,95347,27668,14516,13152,141403,78956,62447,897,906,81.3,86.07,75.97,"25.7795649,84.7498886",22852,15710,7142
Chas ,20,JHARKHAND,10,141618,75027,66591,17774,9423,8351,105417,60459,44958,888,886,85.12,92.16,77.19,"23.6388375,86.1700894",15277,10431,4846
Chennai ,33,TAMIL NADU,2,4681087,2357633,2323454,418541,213084,205457,3850472,2004498,1845974,986,964,90.33,93.47,87.16,"13.0826802,80.2707184",879695,487428,392267
Chhattarpur ,23,MADHYA PRADESH,8,133626,70586,63040,16381,8811,7570,99154,55244,43910,893,859,84.57,89.43,79.16,"24.728683,79.560344",20807,12484,8323
Chhindwara ,23,MADHYA PRADESH,38,138266,70444,67822,13745,7062,6683,112532,59892,52640,963,946,90.37,94.49,86.1,"22.057437,78.9381729",28233,16058,12175
Chikmagalur ,29,KARNATAKA,16,118496,58859,59637,10931,5599,5332,96586,49742,46844,1013,952,89.79,93.39,86.26,"13.315258,75.7754018",13204,7441,5763
Chilakaluripet ,28,ANDHRA PRADESH,17,101550,50201,51349,9525,4916,4609,66336,36472,29864,1023,938,72.08,80.54,63.89,"16.0924301,80.1623948",9526,6302,3224
Chitradurga ,29,KARNATAKA,12,139914,70304,69610,14282,7349,6933,111514,58257,53257,990,943,88.76,92.54,84.97,"14.2305594,76.3984537",16857,10213,6644
Chittaurgarh ,8,RAJASTHAN,28,116409,60229,56180,14067,7473,6594,86945,48624,38321,933,882,84.96,92.17,77.28,"24.8887435,74.6269216",16833,9875,6958
Chittoor ,28,ANDHRA PRADESH,23,153766,76566,77200,13569,7112,6457,121094,63681,57413,1008,908,86.37,91.69,81.16,"13.2218054,79.1010442",21345,12973,8372
Churu ,8,RAJASTHAN,4,119846,61771,58075,16334,8513,7821,77751,46055,31696,940,919,75.11,86.48,63.07,"28.3174965,74.9851678",8756,5873,2883
Coimbatore ,33,TAMIL NADU,31,1061447,531017,530430,96261,49040,47221,885471,457982,427489,999,963,91.74,95.02,88.47,"11.0168445,76.9558321",168145,87123,81022
Cuddalore ,33,TAMIL NADU,16,173361,85593,87768,15940,8153,7787,139388,72083,67305,1025,955,88.54,93.08,84.15,"11.744699,79.7680243",21572,12022,9550
Cuttack ,21,ORISSA,12,606007,303530,302477,48585,25358,23227,508188,272257,235931,997,916,91.17,97.87,84.49,"20.462521,85.8829895",110147,66347,43800
Dabgram ,19,WEST BENGAL,2,118464,60708,57756,14472,7427,7045,76930,42781,34149,951,949,73.98,80.29,67.34,"26.6954603,88.4415998",2532,1703,829
Dallo Pura ,7,NCT OF DELHI,4,154955,81425,73530,18832,9961,8871,111514,62799,48715,903,891,81.92,87.88,75.34,"28.6004677,77.319462",17134,9918,7216
Damoh ,23,MADHYA PRADESH,11,124979,65133,59846,14712,7682,7030,96043,53052,42991,919,915,87.1,92.34,81.4,"23.8380986,79.4421731",16544,9740,6804
Darbhanga ,10,BIHAR,13,294116,154970,139146,40392,21202,19190,205203,115620,89583,898,905,80.88,86.43,74.68,"26.111868,85.896004",38605,26731,11874
Darjiling ,19,WEST BENGAL,1,120414,60114,60300,6547,3440,3107,107242,54710,52532,1003,903,94.18,96.53,91.85,"27.0360066,88.2626751",16319,8829,7490
Datia ,23,MADHYA PRADESH,5,100466,52931,47535,12218,6553,5665,71071,40482,30589,898,864,80.54,87.29,73.06,"25.6653262,78.4609393",12717,7960,4757
Davanagere ,29,KARNATAKA,13,435128,220544,214584,44545,22888,21657,331551,175747,155804,973,946,84.89,88.92,80.76,"14.4663438,75.9238397",40740,24921,15819
Deesa ,24,GUJARAT,2,111149,58724,52425,14192,7790,6402,78219,45479,32740,893,822,80.67,89.29,71.14,"24.2585031,72.1906721",5933,3946,1987
Dehradun ,5,UTTARAKHAND,5,578420,303411,275009,59180,31600,27580,463791,251832,211959,906,873,89.32,92.65,85.66,"30.3164945,78.0321918",136036,70607,65429
Dehri ,10,BIHAR,32,137068,72311,64757,18372,9570,8802,98968,56416,42552,896,920,83.38,89.92,76.05,"24.9277351,84.1909841",14780,10297,4483
Delhi ,7,NCT OF DELHI,99,11007835,5871362,5136473,1209275,647938,561337,8583105,4776490,3806615,875,866,87.6,91.44,83.2,"28.7041,77.1025",2221137,1210040,1011097
Delhi Cantonment ,7,NCT OF DELHI,8,116352,67703,48649,13214,7258,5956,93971,57144,36827,719,821,91.11,94.54,86.26,"28.5961279,77.1587375",17317,9653,7664
Deoghar ,20,JHARKHAND,5,203116,108243,94873,25929,13907,12022,153807,87540,66267,876,864,86.8,92.8,79.98,"24.4763201,86.6913222",27126,19215,7911
Deoli ,7,NCT OF DELHI,9,169410,91173,78237,22526,12001,10525,123167,72062,51105,858,877,83.85,91.02,75.47,"28.4962152,77.2376414",13046,8694,4352
Deoria ,9,UTTAR PRADESH,59,129570,67754,61816,13821,7243,6578,102802,56719,46083,912,908,88.81,93.73,83.43,"26.4270039,83.804868",25206,15782,9424
Dewas ,23,MADHYA PRADESH,20,289438,150193,139245,34435,18117,16318,218877,122388,96489,927,901,85.83,92.66,78.49,"22.9622672,76.0507949",29848,17581,12267
Dhanbad ,20,JHARKHAND,9,1161561,615589,545972,146463,76767,69696,820008,473787,346221,887,908,80.78,87.93,72.69,"23.7956531,86.4303859",104768,69321,35447
Dharmavaram ,28,ANDHRA PRADESH,22,121992,62186,59806,11963,6441,5522,79037,45025,34012,962,857,71.83,80.77,62.66,"14.4137447,77.7126189",7560,5236,2324
Dhaulpur ,8,RAJASTHAN,8,126142,67740,58402,17199,9459,7740,83405,49087,34318,862,818,76.56,84.22,67.74,"26.7025181,77.893391",11782,7680,4102
Dhule ,27,MAHARASHTRA,2,376093,193854,182239,43677,23246,20431,298693,160511,138182,940,879,89.86,94.08,85.4,"20.9042201,74.7748979",38164,23320,14844
Dibrugarh ,18,ASSAM,11,138661,72044,66617,11862,6114,5748,113822,60782,53040,925,940,89.77,92.19,87.14,"27.4728327,94.9119621",20878,12225,8653
Dimapur ,13,NAGALAND,5,123777,65017,58760,14438,7345,7093,95646,51604,44042,904,966,87.48,89.48,85.24,"25.8629885,93.7536663",12902,7442,5460
Dinapur Nizamat ,10,BIHAR,28,182241,97129,85112,25092,13398,11694,123199,70786,52413,876,873,78.4,84.54,71.39,"25.6328264,85.0597137",19777,13707,6070
Dindigul ,33,TAMIL NADU,11,207225,102927,104298,18230,9301,8929,171130,88360,82770,1013,960,90.55,94.38,86.79,"10.3673123,77.9802906",23327,12660,10667
Dum Dum ,19,WEST BENGAL,11,117637,61039,56598,6678,3484,3194,103757,54153,49604,927,917,93.51,94.09,92.88,"22.6470514,88.431683",25287,14288,10999
Durg ,22,CHHATTISGARH,10,268679,136537,132142,29165,15044,14121,210639,113866,96773,968,939,87.94,93.72,82,"21.1904494,81.2849169",38428,21409,17019
Durgapur ,19,WEST BENGAL,9,566937,294349,272588,50512,25959,24553,453604,247176,206428,926,946,87.84,92.1,83.23,"23.5204443,87.3119227",80060,47809,32251
Eluru ,28,ANDHRA PRADESH,15,214414,105707,108707,18125,9048,9077,145516,74521,70995,1028,1003,74.13,77.1,71.26,"16.7106604,81.0952431",23523,14252,9271
English Bazar ,19,WEST BENGAL,6,216083,115126,100957,33211,18647,14564,154875,82428,72447,877,781,84.69,85.44,83.86,"25.0108408,88.1410967",28983,17393,11590
Erode ,33,TAMIL NADU,9,156953,78094,78859,13675,6935,6740,126638,66307,60331,1010,972,88.39,93.18,83.65,"11.3410364,77.7171642",19615,11114,8501
